AREA_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_STATUS_LABEL
Afghanistan,Total,15 years old and over,Total,Total,Total,2017,0.262964091,A,Normal value
Albania,Total,15 years old and over,Total,Total,Total,2017,1.599316984,A,Normal value
Algeria,Total,15 years old and over,Total,Total,Total,2017,2.148514774,A,Normal value
Argentina,Total,15 years old and over,Total,Total,Total,2017,12.66155685,A,Normal value
Armenia,Total,15 years old and over,Total,Total,Total,2017,10.723854,A,Normal value
Australia,Total,15 years old and over,Total,Total,Total,2017,68.08867148,A,Normal value
Austria,Total,15 years old and over,Total,Total,Total,2017,51.64248435,A,Normal value
Azerbaijan,Total,15 years old and over,Total,Total,Total,2017,6.628327719,A,Normal value
Bahrain,Total,15 years old and over,Total,Total,Total,2017,37.06756456,A,Normal value
Bangladesh,Total,15 years old and over,Total,Total,Total,2017,2.439678526,A,Normal value
Belarus,Total,15 years old and over,Total,Total,Total,2017,42.03237491,A,Normal value
Belgium,Total,15 years old and over,Total,Total,Total,2017,67.41948067,A,Normal value
Benin,Total,15 years old and over,Total,Total,Total,2017,3.311617906,A,Normal value
Bolivia,Total,15 years old and over,Total,Total,Total,2017,6.198182398,A,Normal value
Bosnia and Herzegovina,Total,15 years old and over,Total,Total,Total,2017,7.529699292,A,Normal value
Botswana,Total,15 years old and over,Total,Total,Total,2017,8.893829466,A,Normal value
Brazil,Total,15 years old and over,Total,Total,Total,2017,11.27174222,A,Normal value
Bulgaria,Total,15 years old and over,Total,Total,Total,2017,13.44138878,A,Normal value
Burkina Faso,Total,15 years old and over,Total,Total,Total,2017,4.432440581,A,Normal value
Cambodia,Total,15 years old and over,Total,Total,Total,2017,0.896586212,A,Normal value
Cameroon,Total,15 years old and over,Total,Total,Total,2017,4.126535926,A,Normal value
Canada,Total,15 years old and over,Total,Total,Total,2017,72.06177589,A,Normal value
Central African Republic,Total,15 years old and over,Total,Total,Total,2017,4.085411978,A,Normal value
Chad,Total,15 years old and over,Total,Total,Total,2017,1.221889171,A,Normal value
Chile,Total,15 years old and over,Total,Total,Total,2017,23.62347425,A,Normal value
China,Total,15 years old and over,Total,Total,Total,2017,37.85742424,A,Normal value
